id,year,security_council_member,last_update
1,1957,Iraq,2021-01-17
2,1957,Philippines,2021-01-17
3,1957,Sweden,2021-01-17
4,1957,United Kingdom of Great Britain and Northern Ireland,2021-01-17
5,1957,United States of America,2021-01-17
6,1957,USSR (Union of Soviet Socialist Republics),2021-01-17
7,1958,Canada,2021-01-17
8,1958,China,2021-01-17
9,1958,Colombia,2021-01-17
10,1958,France,2021-01-17
11,1958,Iraq,2021-01-17
12,1958,Japan,2021-01-17
13,1958,Panama,2021-01-17
14,1958,Sweden,2021-01-17
15,1958,United Kingdom of Great Britain and Northern Ireland,2021-01-17
16,1958,United States of America,2021-01-17
17,1958,USSR (Union of Soviet Socialist Republics),2021-01-17
18,1959,Argentina,2021-01-17
19,1959,Canada,2021-01-17
20,1959,China,2021-01-17
21,1959,France,2021-01-17
22,1959,Italy,2021-01-17
23,1959,Japan,2021-01-17
24,1959,Panama,2021-01-17
25,1959,Tunisia,2021-01-17
26,1959,United Kingdom of Great Britain and Northern Ireland,2021-01-17
27,1959,United States of America,2021-01-17
28,1959,USSR (Union of Soviet Socialist Republics),2021-01-17
29,1960,Argentina,2021-01-17
30,1960,Sri Lanka,2021-01-17
31,1960,China,2021-01-17
32,1960,Ecuador,2021-01-17
33,1960,France,2021-01-17
34,1960,Italy,2021-01-17
35,1960,Poland,2021-01-17
36,1960,Tunisia,2021-01-17
37,1960,United Kingdom of Great Britain and Northern Ireland,2021-01-17
38,1960,United States of America,2021-01-17
39,1960,USSR (Union of Soviet Socialist Republics),2021-01-17
40,1961,Sri Lanka,2021-01-17
41,1961,Chile,2021-01-17
42,1961,China,2021-01-17
43,1961,Ecuador,2021-01-17
44,1961,France,2021-01-17
45,1961,Liberia,2021-01-17
46,1961,,2021-01-17
47,1961,United Arab Republic,2021-01-17
48,1961,United Kingdom of Great Britain and Northern Ireland,2021-01-17
49,1961,United States of America,2021-01-17
50,1961,USSR (Union of Soviet Socialist Republics),2021-01-17
51,1962,Chile,2021-01-17
52,1962,China,2021-01-17
53,1962,France,2021-01-17
54,1962,Ghana,2021-01-17
55,1962,Ireland,2021-01-17
56,1962,Romania,2021-01-17
57,1962,United Arab Republic,2021-01-17
58,1962,United Kingdom of Great Britain and Northern Ireland,2021-01-17
59,1962,United States of America,2021-01-17
60,1962,USSR (Union of Soviet Socialist Republics),2021-01-17
61,1962,Venezuela (Bolivarian Republic of),2021-01-17
62,1963,Brazil,2021-01-17
63,1963,China,2021-01-17
64,1963,France,2021-01-17
65,1963,Ghana,2021-01-17
66,1963,Morocco,2021-01-17
67,1963,Norway,2021-01-17
68,1963,Philippines,2021-01-17
69,1963,United Kingdom of Great Britain and Northern Ireland,2021-01-17
70,1963,United States of America,2021-01-17
71,1963,USSR (Union of Soviet Socialist Republics),2021-01-17
72,1963,Venezuela (Bolivarian Republic of),2021-01-17
73,1964,Bolivia (Plurinational State of),2021-01-17
74,1964,Brazil,2021-01-17
75,1964,China,2021-01-17
76,1964,,2021-01-17
