State B,State B code,styear,StateB primary target?,Name,UNRES,Location,dispnum,RemoveCase,stday,stmon,endday,endmon,endyear,Ongoing,cumdurat,Era,Decade,PresName,Frontier War,Era2,US HiHost,US HighAct,dyadic hostility,dyadic HighAct,HihostB,HighActB,US Orig,originatA,originatB,sideaa,InterType,Objective,ObjectiveCode,ForeignReg,BuildReg,Empire,Territory,Policy,SocialProt,Economic,ProtOwn,Outcome,BattleFatUS,BattleFatB,BattleFat,BattleLevUS,BattleLevB,BattleLev,FatUS,FatB,Fatalities,fatlevUS,fatlevB,FatLev,MaxCost,MaxTroops,MaxNavy,MaxAir,MIP,Additions to MID,MID Dummy,IMI Dummy,MIPS Dummy,CRS Dummy,ACD Dummy,National Interest Index,contiguity,ContiguityDummy,War,US milex,US milper,US irst,US pec,US tpop,US upop,US CINC,State B milex,State B milper,State B irst,State B pec,State B tpop,State B upop,State B CINC,defense,neutrality,nonaggression,entente,AllianceDummy,Alliances (1-4),Colonial land,Colonial sea,Colonial contiguity,ColonialDummy,US imports,US exports,State B imports,State B exports,Trade flow1,Trade flow2,smoothflow1,smoothflow2,smoothtotrade,spike1,spike2,dip1,dip2,trdspike,tradedip,US democ,US autoc,US polity,US polity2,US durable,State B democ,State B autoc,State B polity,State B polity2,State B durable,US Dsource,US idp,US host,US hostChange,State B source,State B idp,State B host,US nGDP,US rGDP,US nGDP capita ,US rGDP capita,US rGDPCChange,US Recession,ideal1,ideal2,absidealdiff,s2un,s3un,agree2un,agree3un,jointvotes2,jointvotes3,PHYSINT,DISAP,KILL,POLPRIS,TORT,EMPINX,ASSN,FORMOV,DOMMOV,OLD_MOVE,SPEECH,ELECSD,OLD_RELFRE,RELFRE,WORKER,WECON,WOPOL,WOSOC,INJUD,UNRegN,UNRegT,UNSUBREG,SubRegT,SubRegN,OECDReg,PTS_A,PTS_S,US Defense Spending,ChildMort,LifeExp,StateBHC,StateBrGDP ,USHC,USunemp,USDeficit,USDecifitGDP,USDeficitCon,USDebtGDP,USExpGDP,USDExpGDP,USCapInv,DefOutlay%,DODOutlays$,DOSOutlays$,SDratioOutlays$,DODOutlays%,DOSOutlays%,SDratioOutlays%,DOD BA$,DOS BA$,SDratioBA$,DOD BA%,DOS BA%,SDratioBA%,SenateDem,HouseDem,PresidentDem,DemControl,RepControl,CongressDem,CongressRep,PresElectionYear,ViolentCrime,Murder,LegacyRape,Robbery,AggravatedAssault,PropertyCrime ,Burglary,LarcenyTheft,VehicleTheft,oil_prod,oil_price_2000,oil_price_nom,oil_value_nom,oil_value_2000,oil_value_2014,gas_prod,gas_price_2000_mboe,gas_price_2000,gas_price_nom,gas_value_nom,gas_value_2000,gas_value_2014,oilgas_value_nom,oilgas_value_2000,oilgas_value_2014,oil_exports,gas_exports,coup1,coup2,coup3,coup4,democracy,assconfid,poppreselec,regime,ttd,tta,stra,Oil Dummy,Population (in thousands),MilExp_Con,ExpShareGDP,Description
FRN,220,1798,1,Quasi War,,2,,0,9,7,21,12,1801,0,1260,1,,Washington,0,1,4,19,4,19,4,19,0,1,1,0,1,Economic Protection; Protect Own Military and/or Diplomatic Interests,7; 8,0,0,0,0,0,0,1,1,6,40,102,81,2,3,3,40,113,81,2,3,3,,,49,0,1,1,0,0,0,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,7417,82.77,1486.37,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,13,N. America,14,lac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4990,,,"Undeclared Naval War with France. This contest included land actions, such as that in the Dominican Republic, city of Puerto Plata, where marines captured a French privateer under the guns of the forts. Congress authorized military action through a series of statutes."
LIB,620,1801,1,First Barbary War,,620,,0,14,5,12,6,1805,0,1490,1,,Jefferson,0,1,4,19,4,19,4,17,0,0,1,0,1,Policy change; Economic protection; Protect own Diplomatic interests,5; 7; 8,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,500,10,0,1,1,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,7,3,4,4,,,,,,,,,,,,,,514,8802,94.12,1611.78,8.44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Africa,15,North Africa,15,mena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5461,,,"Tripoli. The First Barbary War included the USS George Washington and Philadelphia affairs and the Eaton expedition, during which a few marines landed with United States Agent William Eaton to raise a force against Tripoli in an effort to free the crew of the Philadelphia. Tripoli declared war on the United States on May 10, 1801, and although Congress authorized U.S. military action by statute, they never voted on a formal declaration of war."
MEX,70,1806,0,Arrest of Pike's Expedition,,70,,0,27,1,26,2,1806,0,30,1,,Jefferson,0,1,4,14,4,17,4,17,1,1,0,0,1,Acquire/Defend Territory,4,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,10,0,10,1,0,1,0,21,0,0,1,1,0,0,0,1,0,2,1,1,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,7,3,4,4,,,,,,,,,,,,,,617,10577,96.72,1658.16,2.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,13,Central & S. America,14,lac,,,,48.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6379,,,"Captain Z. M. Pike, with a platoon of troops, invaded Spanish territory at the headwaters of the Rio Grande on orders from General James Wilkinson. He was made prisoner without resistance at a fort he constructed in present-day Colorado, taken to Mexico, and later released after seizure of his papers."
"SPN, FRN","220, 230",1806,0 (pirates),Gulf of Mexico Pirates,,2,,0,,,,,1810,0,,1,,Jefferson,0,1,3,8,3,8,3,8,1,1,0,1,1,Economic Protection,7,0,0,0,0,0,0,1,0,8,,,,,,,,,,,,,,,6,,1,1,0,0,0,1,0,2,4,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,,,,,,,,,,,,,,,,7,3,4,4,,0,10,-10,-10,,,,,,,,,617,10577,96.72,1658.16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,N. America,21,N. America,21,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6379,,,Gulf of Mexico. American gunboats operated from New Orleans against Spanish and French privateers
SPN,230,1810,1,Annexation of West Florida,,2,,0,6,12,10,12,1810,0,4,1,,Madison,0,1,4,16,4,16,1,1,1,1,0,1,1,Remove Foreign Regime; Acquire Territory; Economic Protection; Protect own    Military Interests,1;4;7,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,450,5,0,1,1,0,0,0,1,0,2,4,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,,,,,,,,,,,,,,,,9,0,9,9,1,-66,-66,-66,,0,,,,,,,,706,12055,97.73,1668.7,0.64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,N. America,21,N. America,21,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7224,,,"West Florida (Spanish territory). Governor William Charles Cole Claiborne of Louisiana, on orders of the President, occupied with troops territory in dispute east of the Mississippi River as far as the Pearl River, later the eastern boundary of Louisiana. He was authorized to seize as far east as the Perdido River."
SPN,230,1812,1,Patriot War,,2,,0,17,3,5,5,1814,0,780,1,,Madison,0,1,4,19,4,19,4,19,1,1,0,1,1,Remove Foreign Regime; Acquire Territory; Economic Protection; Protect own    Military Interests,1;4;7;8,1,0,0,1,0,0,1,1,1,,,,,,,,,,,,,0.1,160,3,0,1,1,0,0,0,1,0,2,3,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,,,,,,,,,,,,,,,,9,0,9,9,3,-66,-66,-66,,0,,,,,,,,786,13106,102.73,1712.95,2.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,N. America,21,N. America,21,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7651,,,"Amelia Island and other parts of east Florida, then under Spain. Temporary possession was authorized by President Madison and by Congress, to prevent occupation by any other power; but possession was obtained by General George Matthews in so irregular a manner that his measures were disavowed by the President."
UKG,200,1812,1,War of 1812,,2,,0,18,6,17,2,1815,0,975,1,,Madison,0,1,5,22,5,22,5,22,1,1,0,1,1,Aquire/Defend Territory; Protect Own Military and/or Diplomatic Interests,4;7;8,0,0,0,1,0,0,1,1,5,4999,4258,4555,6,6,6,8666,6556,7347,6,6,6,153000000,468000,20,0,1,1,0,0,0,1,0,2,0,1,1,,,,,,,,,,,,,,,,,,,,,3,2,5,1,,,,,,,,,,,,,,,,9,0,9,9,3,4,6,-2,-2,,,,,,,,,786,13106,102.73,1712.95,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,Europe,154,W. & N. Europe,154,eca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7651,,,"War of 1812. On June 18, 1812, the United States declared war between the United States and the United Kingdom of Great Britain and Ireland. Among the issues leading to the war were British interception of neutral ships and blockades of the United States during British hostilities with France."
SPN,230,1813,1,Occupation of West Florida ,,230,,0,14,3,13,4,1813,0,30,1,,Madison,0,2,4,16,4,16,1,1,0,0,1,1,1,Remove Foreign Regime; Maintain an Empire; Acquire/Defend Territory,1;3;4,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,800,5,0,1,1,0,0,0,1,0,2,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,9,0,9,9,4,-66,-66,-66,,0,,,,,,,,969,13851,123.17,1760.67,2.79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,N. America,21,N. America,21,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7867,,,"West Florida (Spanish territory). On authority given by Congress, General Wilkinson seized Mobile Bay in April with 600 soldiers. A small Spanish garrison gave way. The United States advanced into disputed territory to the Perdido River, as projected in 1810. No fighting."
CUB,40,1814,,,,,,1,,,,,1825,0,,1,,Madison,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,2,4,1,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,9,0,9,9,5,,,,,,,,,,,,,1078,14431,133.33,1784.89,1.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,29,Caribbean,29,lac,,,,38.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8085,,,"Caribbean. Engagements between pirates and American ships or squadrons took place repeatedly, especially ashore and offshore about Cuba, Puerto Rico, Santo Domingo, and Yucatan. Three thousand pirate attacks on merchantmen were reported between 1815 and 1823. In 1822, Commodore James Biddle deployed a squadron of two frigates, four sloops of war, two brigs, four schooners, and two gunboats in the West Indies."
UKG,200,1814,1,,,,,1,,9,,,1814,0,,1,,Madison,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,2,4,1,0,,,,,,,,,,,,,,,,,,,,,3,2,5,1,,,,,,,,,,,,,,,,9,0,9,9,5,4,6,-2,-2,,,,,,,,,1078,14431,133.33,1784.89,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,N. America,21,N. America,21,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8085,,,"Spanish Florida. General Andrew Jackson took Pensacola Bay and drove out the British, in September 1814 with whom the United States was at war and pacified the Spanish governor of Florida. This capture of Pensacola was crucial to Jackson securing victory during the battle of New Orleans in November 1814."
